Level,Competition,Team Home,Team Away,Score Home,Score Away,Event Date,Result
REPUBLIC OF THE CONGO,Ligue 1,Etoile du Congo,CARA Brazzaville,1,4,27.05. 15:00,W
REPUBLIC OF THE CONGO,Ligue 1,Etoile du Congo,CARA Brazzaville,0,0,29.06.2021,D
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,Etoile du Congo,0,0,15.03.2020,D
REPUBLIC OF THE CONGO,Ligue 1,Patronage Sainte-Anne,CARA Brazzaville,1,1,26.05.2019,D
REPUBLIC OF THE CONGO,Ligue 1,Nico-Nicoye,CARA Brazzaville,2,1,10.10.2018,L
AFRICA,CAF Confederation Cup - Play Offs,Raja Casablanca,CARA Brazzaville,1,0,23.09.2018,L
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,Leopard,2,0,19.09.2018,W
AFRICA,CAF Confederation Cup - Play Offs,CARA Brazzaville,Raja Casablanca,1,2,16.09.2018,L
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,CARA Brazzaville,2,0,09.09.2018,L
AFRICA,CAF Confederation Cup,Enyimba (Nga),CARA Brazzaville (Con),1,0,29.08.2018,L
REPUBLIC OF THE CONGO,Ligue 1,St-Michel Ouenze,CARA Brazzaville,1,2,22.08.2018,W
AFRICA,CAF Confederation Cup,CARA Brazzaville (Con),WAC (Ivo),3,1,19.08.2018,W
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,Cheminots,1,0,09.08.2018,W
AFRICA,CAF Confederation Cup,CARA Brazzaville (Con),Djoliba (Mli),1,0,29.07.2018,W
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,JS Talangai,3,0,22.07.2018,W
AFRICA,CAF Confederation Cup,Djoliba (Mli),CARA Brazzaville (Con),2,0,18.07.2018,L
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,V. Club Mokanda,3,0,04.07.2018,W
AFRICA,CAF Confederation Cup,CARA Brazzaville (Con),Enyimba (Nga),3,0,16.05.2018,W
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,Otoho d'Oyo,0,2,10.05.2018,L
AFRICA,CAF Confederation Cup,WAC (Ivo),CARA Brazzaville (Con),1,0,06.05.2018,L
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,Diables Noirs,0,1,28.04.2018,L
AFRICA,CAF Confederation Cup - Qualification,CARA Brazzaville (Con),St. George (Eth),2,0,18.04.2018Pen,W
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,Kondzo,1,1,12.04.2018,D
AFRICA,CAF Confederation Cup - Qualification,St. George (Eth),CARA Brazzaville (Con),1,0,07.04.2018,L
REPUBLIC OF THE CONGO,Ligue 1,V. Club Mokanda,CARA Brazzaville,1,1,01.04.2018,D
AFRICA,CAF Confederation Cup - Qualification,Ben Guerdane (Tun),CARA Brazzaville (Con),3,1,18.03.2018,L
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,St-Michel Ouenze,3,0,28.02.2018,W
AFRICA,CAF Confederation Cup - Qualification,CARA Brazzaville (Con),Asante Kotoko (Gha),2,0,21.02.2018Pen,W
REPUBLIC OF THE CONGO,Ligue 1,La Mancha,CARA Brazzaville,1,0,15.02.2018,L
AFRICA,CAF Confederation Cup - Qualification,Asante Kotoko (Gha),CARA Brazzaville (Con),1,0,11.02.2018,L
REPUBLIC OF THE CONGO,Ligue 1,Leopard,CARA Brazzaville,0,1,04.02.2018,W
REPUBLIC OF THE CONGO,Ligue 1,JS Talangai,CARA Brazzaville,0,0,24.09.2017,D
AFRICA,CAF Confederation Cup - Qualification,CARA Brazzaville (Con),Maghreb Fez (Mar),2,0,18.02.2017,W
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,Kimbonguila Kinkala,4,0,05.02.2017,W
REPUBLIC OF THE CONGO,Ligue 1,Poto-Poto,CARA Brazzaville,2,1,16.10.2016,L
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,Leopard,0,1,08.05.2015,L
AFRICA,CAF Confederation Cup - Qualification,CARA Brazzaville (Con),AS Togo-Port (Tog),3,3,28.02.2015,D
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,Poto-Poto,0,0,08.02.2015,D
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,Bilombe,2,0,13.07.2014,W
AFRICA,CAF Confederation Cup - Qualification,Etoile Sahel (Tun),CARA Brazzaville (Con),3,0,07.03.2014,L
REPUBLIC OF THE CONGO,Ligue 1,Tongo FC Jambon,CARA Brazzaville,0,0,04.03.2014,D
AFRICA,CAF Confederation Cup - Qualification,CARA Brazzaville (Con),Etoile Sahel (Tun),1,0,01.03.2014,W
REPUBLIC OF THE CONGO,Ligue 1,St-Michel Ouenze,CARA Brazzaville,1,1,24.02.2014,D
AFRICA,CAF Confederation Cup - Qualification,CARA Brazzaville (Con),Al-Malakia (Ssu),4,1,16.02.2014,W
