Level,Competition,Team Home,Team Away,Score Home,Score Away,Event Date,Result
REPUBLIC OF THE CONGO,Ligue 1,Etoile du Congo,CARA Brazzaville,1,4,27.05. 15:00,L
REPUBLIC OF THE CONGO,Ligue 1,Etoile du Congo,CARA Brazzaville,0,0,29.06.2021,D
AFRICA,CAF Confederation Cup - Qualification,Bravos do Maquis (Ang),Etoile du Congo (Con),0,0,06.12.2020,D
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,Etoile du Congo,0,0,15.03.2020,D
AFRICA,CAF Confederation Cup - Qualification,Etoile du Congo (Con),Pyramids (Egy),0,1,25.08.2019,L
REPUBLIC OF THE CONGO,Ligue 1,JS Talangai,Etoile du Congo,4,3,26.05.2019,L
REPUBLIC OF THE CONGO,Ligue 1,Tongo FC Jambon,Etoile du Congo,0,1,08.10.2018,W
REPUBLIC OF THE CONGO,Ligue 1,Etoile du Congo,Poto-Poto,2,3,23.09.2017,L
AFRICA,CAF Confederation Cup - Qualification,Kabylie (Alg),Etoile du Congo (Con),1,0,18.03.2017,L
REPUBLIC OF THE CONGO,Ligue 1,Diables Noirs,Etoile du Congo,0,3,05.03.2017,W
AFRICA,CAF Confederation Cup - Qualification,Micomeseng (Gnq),Etoile du Congo (Con),0,1,19.02.2017,W
REPUBLIC OF THE CONGO,Ligue 1,Jeunes Fauves,Etoile du Congo,0,1,04.02.2017,W
REPUBLIC OF THE CONGO,Ligue 1,Inter Club,Etoile du Congo,3,2,15.10.2016,L
AFRICA,CAF Champions League - Qualification,ES Setif (Alg),Etoile du Congo (Con),4,2,20.03.2016,L
REPUBLIC OF THE CONGO,Ligue 1,Etoile du Congo,JS Talangai,1,0,06.03.2016,W
AFRICA,CAF Champions League - Qualification,Etoile du Congo (Con),Mangasport (Gab),3,0,28.02.2016,W
REPUBLIC OF THE CONGO,Ligue 1,Muni Sport,Etoile du Congo,0,2,22.02.2016,W
AFRICA,CAF Champions League - Qualification,Mangasport (Gab),Etoile du Congo (Con),0,0,13.02.2016,D
REPUBLIC OF THE CONGO,Ligue 1,Diables Noirs,Etoile du Congo,0,0,07.02.2016,D
REPUBLIC OF THE CONGO,Ligue 1,Etoile du Congo,V. Club Mokanda,0,1,08.04.2015,L
AFRICA,CAF Confederation Cup - Qualification,MK Etancheite (Drc),Etoile du Congo (Con),1,1,27.02.2015,D
REPUBLIC OF THE CONGO,Ligue 1,Etoile du Congo,Muni Sport,6,0,21.02.2015,W
AFRICA,CAF Confederation Cup - Qualification,Etoile du Congo (Con),MK Etancheite (Drc),1,2,14.02.2015,L
REPUBLIC OF THE CONGO,Ligue 1,Bilombe,Etoile du Congo,2,6,07.02.2015,W
REPUBLIC OF THE CONGO,Ligue 1,Etoile du Congo,Patronage Sainte-Anne,0,1,03.08.2014,L
AFRICA,CAF Confederation Cup - Qualification,Les Astres,Etoile du Congo,2,0,19.05.2007,L
AFRICA,CAF Champions League - Qualification,Al-Ittihad,Etoile du Congo,2,0,22.04.2007,L
AFRICA,CAF Champions League - Qualification,Etoile du Congo,Raja Casablanca,3,2,28.04.2002,W
AFRICA,CAF Champions League - Qualification,Etoile du Congo,Petro Atletico,2,2,27.05.2001,D
