Level,Competition,Team Home,Team Away,Score Home,Score Away,Event Date,Result
REPUBLIC OF THE CONGO,Ligue 1,Inter Club,Leopard,2,1,29.05. 15:00,L
REPUBLIC OF THE CONGO,Ligue 1,Kondzo,Leopard,3,2,27.06.2021,L
REPUBLIC OF THE CONGO,Ligue 1,Leopard,Kondzo,0,0,16.03.2020,D
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,Leopard,3,0,30.05.2019,L
REPUBLIC OF THE CONGO,Ligue 1,Cheminots,Leopard,2,0,01.10.2018,L
AFRICA,CAF Champions League - Qualification,AS Togo-Port (Tog),Leopard (Con),3,1,21.02.2018Pen,L
REPUBLIC OF THE CONGO,Ligue 1,Nico-Nicoye,Leopard,0,1,18.02.2018,W
AFRICA,CAF Champions League - Qualification,Leopard (Con),AS Togo-Port (Tog),2,1,10.02.2018,W
REPUBLIC OF THE CONGO,Ligue 1,Leopard,CARA Brazzaville,0,1,04.02.2018,L
REPUBLIC OF THE CONGO,Ligue 1,Nico-Nicoye,Leopard,0,0,24.09.2017,D
AFRICA,CAF Confederation Cup - Qualification,Mbabane Swallows (Esw),Leopard (Con),4,2,15.04.2017,L
REPUBLIC OF THE CONGO,Ligue 1,Cheminots,Leopard,1,1,09.04.2017,D
AFRICA,CAF Champions League - Qualification,St. George (Eth),Leopard (Con),2,0,19.03.2017,L
REPUBLIC OF THE CONGO,Ligue 1,Kimbonguila Kinkala,Leopard,0,1,05.03.2017,W
AFRICA,CAF Champions League - Qualification,UMS de Loum (Cmr),Leopard (Con),2,1,19.02.2017,L
REPUBLIC OF THE CONGO,Ligue 1,Leopard,JS Talangai,4,1,05.02.2017,W
REPUBLIC OF THE CONGO,Ligue 1,Jeunes Fauves,Leopard,1,0,22.10.2016,L
AFRICA,CAF Champions League - Qualification,Leopard (Con),Mamelodi Sundowns (Rsa),1,1,19.03.2016,D
REPUBLIC OF THE CONGO,Ligue 1,Leopard,CARA Brazzaville,2,1,03.03.2016,W
AFRICA,CAF Confederation Cup,Leopard,CS Sfaxien,0,0,13.09.2015,D
AFRICA,CAF Confederation Cup - Qualification,Warri Wolves (Nga),Leopard (Con),3,1,06.06.2015,L
REPUBLIC OF THE CONGO,Ligue 1,Leopard,Diables Noirs,2,1,13.05.2015,W
AFRICA,CAF Champions League - Qualification,Smouha (Egy),Leopard (Con),2,0,02.05.2015,L
REPUBLIC OF THE CONGO,Ligue 1,St-Michel Ouenze,Leopard,0,1,12.04.2015,W
AFRICA,CAF Champions League - Qualification,Leopard (Con),Gor Mahia (Ken),1,0,05.04.2015,W
REPUBLIC OF THE CONGO,Ligue 1,Inter Club,Leopard,0,2,22.03.2015,W
AFRICA,CAF Champions League - Qualification,Gor Mahia (Ken),Leopard (Con),0,1,15.03.2015,W
REPUBLIC OF THE CONGO,Ligue 1,Leopard,Tongo FC Jambon,1,0,08.03.2015,W
AFRICA,CAF Confederation Cup - Play Offs,Leopard (Con),Sewe (Ivo),0,0,27.09.2014,D
AFRICA,CAF Confederation Cup,Leopard (Con),ASEC Mimosas (Ivo),4,1,24.08.2014,W
REPUBLIC OF THE CONGO,Ligue 1,St-Michel Ouenze,Leopard,0,1,06.07.2014,W
AFRICA,CAF Confederation Cup,Real Bamako (Mli),Leopard (Con),1,2,07.06.2014,W
REPUBLIC OF THE CONGO,Ligue 1,Leopard,St-Michel Ouenze,2,1,28.05.2014,W
AFRICA,CAF Confederation Cup,ASEC Mimosas (Ivo),Leopard (Con),0,0,24.05.2014,D
REPUBLIC OF THE CONGO,Ligue 1,Leopard,Kondzo,3,0,13.05.2014,W
AFRICA,CAF Confederation Cup - Qualification,Medeama (Gha),Leopard (Con),2,1,27.04.2014Pen,L
REPUBLIC OF THE CONGO,Ligue 1,Inter Club,Leopard,0,2,13.04.2014,W
AFRICA,CAF Champions League - Qualification,Al-Hilal Omdurman (Sud),Leopard (Con),0,0,30.03.2014,D
REPUBLIC OF THE CONGO,Ligue 1,Leopard,Tongo FC Jambon,1,0,26.03.2014,W
AFRICA,CAF Champions League - Qualification,Leopard (Con),Al-Hilal Omdurman (Sud),1,1,23.03.2014,D
REPUBLIC OF THE CONGO,Ligue 1,Leopard,Cheminots,1,0,16.03.2014,W
AFRICA,CAF Champions League - Qualification,Primeiro de Agosto (Ang),Leopard (Con),2,0,08.03.2014,L
REPUBLIC OF THE CONGO,Ligue 1,Leopard,AS Police,3,0,26.02.2014,W
AFRICA,CAF Champions League - Qualification,Rayon Sport (Rwa),Leopard (Con),2,2,15.02.2014,D
AFRICA,CAF Champions League,Zamalek,Leopard,4,1,22.09.2013,L
AFRICA,CAF Champions League - Qualification,ES Setif (Alg),Leopard (Con),3,2,03.05.2013Pen,L
AFRICA,CAF Super Cup,Al Ahly,Leopard,2,1,23.02.2013,L
AFRICA,CAF Champions League - Qualification,Leopard (Con),CF Mounana (Gab),2,0,17.02.2013,W
AFRICA,CAF Confederation Cup - Play Offs,Leopard,Djoliba,2,1,25.11.2012,W
AFRICA,CAF Confederation Cup,Leopard,Djoliba,3,0,21.10.2012,W
AFRICA,CAF Confederation Cup - Qualification,Leopard,Maghreb Fez,2,0,14.07.2012AET,W
AFRICA,CAF Confederation Cup - Qualification,Leopard,Primeiro de Agosto,1,0,03.04.2011,W
AFRICA,CAF Confederation Cup - Qualification,Cotonsport,Leopard,2,0,04.04.2010,L
