Level,Competition,Team Home,Team Away,Score Home,Score Away,Event Date,Result
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,Kondzo,0,0,12.06. 14:00,D
AFRICA,CAF Confederation Cup,Cotonsport (Cmr),Otoho d'Oyo (Con),0,1,03.04. 20:00,W
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,AS BNG,3,0,26.03. 15:00,W
AFRICA,CAF Confederation Cup,Otoho d'Oyo (Con),Mazembe (Drc),2,2,20.03. 17:00,D
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,Leopard,1,1,04.03. 15:00,D
AFRICA,CAF Confederation Cup,Otoho d'Oyo (Con),Al Masry (Egy),1,0,27.02. 17:00,W
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,V. Club Mokanda,1,1,18.02. 16:00,D
AFRICA,CAF Confederation Cup,Mazembe (Drc),Otoho d'Oyo (Con),1,0,13.02. 14:00,L
REPUBLIC OF THE CONGO,Ligue 1,Etoile du Congo,Otoho d'Oyo,0,1,06.02. 16:00,W
AFRICA,CAF Confederation Cup - Qualification,Gor Mahia (Ken),Otoho d'Oyo (Con),1,1,05.12.2021,D
AFRICA,CAF Champions League - Qualification,Petro Atletico (Ang),Otoho d'Oyo (Con),2,0,23.10.2021,L
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,Nico-Nicoye,2,1,05.07.2021,W
AFRICA,CAF Champions League - Qualification,Al-Merreikh (Sud),Otoho d'Oyo (Con),2,0,04.12.2020,L
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,Nico-Nicoye,2,0,16.03.2020,W
AFRICA,CAF Champions League - Qualification,Mamelodi Sundowns (Rsa),Otoho d'Oyo (Con),4,0,24.08.2019,L
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,Leopard,3,0,30.05.2019,W
AFRICA,CAF Confederation Cup,Otoho d'Oyo (Con),Raja Casablanca (Mar),1,4,17.03.2019,L
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,La Mancha,2,0,13.03.2019,W
AFRICA,CAF Confederation Cup,Berkane (Mar),Otoho d'Oyo (Con),3,0,10.03.2019,L
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,Inter Club,2,0,05.03.2019,W
AFRICA,CAF Confederation Cup,Otoho d'Oyo (Con),Hassania Agadir (Mar),1,0,03.03.2019,W
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,Tongo FC Jambon,4,0,07.02.2019,W
AFRICA,CAF Confederation Cup,Otoho d'Oyo (Con),Berkane (Mar),1,1,03.02.2019,D
REPUBLIC OF THE CONGO,Ligue 1,Nico-Nicoye,Otoho d'Oyo,0,2,26.01.2019,W
AFRICA,CAF Confederation Cup - Qualification,Kampala City (Uga),Otoho d'Oyo (Con),2,0,20.01.2019,L
REPUBLIC OF THE CONGO,Ligue 1,Kondzo,Otoho d'Oyo,1,4,05.01.2019,W
AFRICA,CAF Champions League - Qualification,Platinum (Zim),Otoho d'Oyo (Con),0,0,22.12.2018,D
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,JS Talangai,4,0,12.12.2018,W
AFRICA,CAF Champions League - Qualification,Otoho d'Oyo (Con),Primeiro de Agosto (Ang),2,0,05.12.2018,W
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,Diables Noirs,0,0,21.10.2018,D
AFRICA,CAF Champions League - Qualification,MC Alger (Alg),Otoho d'Oyo (Con),9,0,21.02.2018,L
REPUBLIC OF THE CONGO,Ligue 1,Poto-Poto,Otoho d'Oyo,2,2,14.02.2018,D
AFRICA,CAF Champions League - Qualification,Otoho d'Oyo (Con),MC Alger (Alg),2,0,11.02.2018,W
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,Patronage Sainte-Anne,4,0,04.02.2018,W
REPUBLIC OF THE CONGO,Ligue 1,Inter Club,Otoho d'Oyo,0,3,21.09.2017,W
